college,State,region
Modern Hairstyling Institute,PR,
Liceo De Arte y Tecnologia,PR,
Modern Hairstyling Institute,PR,
Antilles College of Health,PR,
Commonwealth of Puerto Rico Department of Education,PR,
National University College,PR,
Huertas College,PR,
Inter American University of Puerto Rico - Guayama Campus,PR,
Inter American University of Puerto Rico - Fajardo Campus,PR,
Automeca Technical College,PR,
American Educational College,PR,
Humacao Community College,PR,
Institute of Beauty Careers,PR,
University of Puerto Rico - Medical Science Campus,PR,
Institucion Chaviano de Mayaguez,PR,
Atlantic University College,PR,
Ponce Paramedical College (POPAC),PR,
International Technical College,PR,
Escuela de Artes Plasticas de Puerto Rico,PR,
Educational Technical College (EDUTEC),PR,
Universidad Metropolitana,PR,
University of Puerto Rico Carolina Regional College,PR,
EDIC College,PR,
Mech Tech College,PR,
Universal Technology College of Puerto Rico,PR,
D'Mart Institute,PR,
Emma's Beauty Academy,PR,
Professional Technical Institution,PR,
Dewey University,PR,
Trinity College of Puerto Rico,PR,
Academia Serrant,PR,
Nova College of Puerto Rico,PR,
"Colegio de Cinematografia, Artes y Television",PR,
Century College,PR,
Colegio Educativo Tecnologico Industrial,PR,
Universidad Pentecostal Mizpa,PR,
Atenas College,PR,
Leston College,PR,
"Charlie's Guard, Detective Bureau, and Academy",PR,
Bayamon Community College,PR,
Industrial Technical College,PR,
Cambridge Technical Institute,PR,
Institute of Beauty Occupations and Technology Course,PR,
MyrAngel Beauty Institute,PR,
Instituto Educativo Premier,PR,
Liberty Technical College,PR,
PPG Technical College,PR,
Inter American University of Puerto Rico - School of Law,PR,
Inter American University of Puerto Rico - School of Optometry,PR,
Inter American University of Puerto Rico San German Campus,PR,
Palau Community College,PW,
Brown University,RI,Kent
Bryant University,RI,Providence
Johnson & Wales University,RI,Providence
Providence College,RI,Providence
Rhode Island College,RI,Providence
Community College of Rhode Island,RI,Providence
Rhode Island School of Design,RI,Providence
Roger Williams University,RI,Providence
Salve Regina University,RI,Providence
University of Rhode Island,RI,Kent
New England Institute of Technology,RI,Kent
Allen University,SC,Region 2
Anderson University,SC,Region 1
Charleston Southern University,SC,Region 4
Benedict College,SC,Region 2
Bob Jones University,SC,Region 1
Southern Wesleyan University,SC,Region 1
"Citadel, The Military College of South Carolina",SC,Region 4
Claflin University,SC,Region 4
Clemson University,SC,Region 1
Coker College,SC,Region 2
College of Charleston,SC,Region 4
Columbia International University,SC,Region 2
Columbia College,SC,Region 2
Converse College,SC,Region 1
Erskine College,SC,Region 1
Furman University,SC,Region 1
Lander University,SC,Region 1
Limestone College,SC,Region 1
Medical University of South Carolina,SC,Region 4
Morris College,SC,Region 3
Newberry College,SC,Region 1
North Greenville University,SC,Region 1
Presbyterian College,SC,Region 1
South Carolina State University,SC,Region 4
Spartanburg Methodist College,SC,Region 1
University of South Carolina - Columbia,SC,Region 2
University of South Carolina - Aiken,SC,Region 1
University of South Carolina - Beaufort,SC,Region 4
Coastal Carolina University,SC,Region 3
Voorhees College,SC,Region 4
Winthrop University,SC,Region 2
Wofford College,SC,Region 1
Florence - Darlington Technical College,SC,Region 3
Greenville Technical College,SC,Region 1
Piedmont Technical College,SC,Region 1
Midlands Technical College,SC,Region 2
Spartanburg Community College,SC,Region 1
Central Carolina Technical College,SC,Region 2
York Technical College,SC,Region 2
Trident Technical College,SC,Region 4
Clinton College,SC,Region 2
Forrest College,SC,Region 1
Horry - Georgetown Technical College,SC,Region 3
Tri-County Technical College,SC,Region 1
Denmark Technical College,SC,Region 4
Orangeburg - Calhoun Technical College,SC,Region 2
University of South Carolina Upstate,SC,Region 1
Northeastern Technical College,SC,Region 3
Francis Marion University,SC,Region 3
Williamsburg Technical College,SC,Region 3
Technical College of the Lowcountry - Beaufort Campus,SC,Region 4
University of South Carolina Regional Campuses,SC,Region 2
Aiken Technical College,SC,Region 1
Sherman College of Straight Chiropractic,SC,Region 1
Charzanne Beauty College,SC,Region 1
Sumter Beauty College,SC,Region 2
Centura College,SC,Region 2
Southeastern Institute,SC,Region 2
Southeastern Institute,SC,Region 4
Styletrends Barber and Hairstyling Academy,SC,Region 2
Augustana University,SD,Region 5
Black Hills State University,SD,Region 1
Dakota Wesleyan University,SD,Region 4
Dakota State University,SD,Region 3
Mount Marty College,SD,Region 4
Northern State University,SD,Region 3
Presentation College,SD,Region 3
University of Sioux Falls,SD,Region 5
South Dakota School of Mines & Technology,SD,Region 1
South Dakota State University,SD,Region 3
University of South Dakota,SD,Region 4
North American Baptist Seminary,SD,Region 5
National American University,SD,Region 1
Lake Area Technical Institute,SD,Region 3
Southeast Technical Institute,SD,Region 5
Mitchell Technical Institute,SD,Region 4
Stewart School,SD,Region 4
Western Dakota Technical Institute,SD,Region 1
Oglala Lakota College,SD,Region 1
Sinte Gleska University,SD,Region 2
Kilian Community College,SD,Region 5
Sisseton Wahpeton College,SD,Region 3
School,State,Region
Aquinas College,TN,Region 5
Austin Peay State University,TN,Region 5
Belmont University,TN,Region 5
Bethel University,TN,Region 1
Carson - Newman University,TN,Region 1
Christian Brothers University,TN,Region 5
Columbia State Community College,TN,Region 1
Cumberland University,TN,Region 5
Lipscomb University,TN,Region 3
East Tennessee State University,TN,Region 3
Fisk University,TN,Region 3
Freed Hardeman University,TN,Region 1
Hiwassee College,TN,Region 3
Johnson University,TN,Region 1
King University,TN,Region 1
Lane College,TN,Region 1
Lee University,TN,Region 1
LeMoyne - Owen College,TN,Region 3
Lincoln Memorial University,TN,Region 3
Martin Methodist College,TN,Region 3
Maryville College,TN,Region 3
Meharry Medical College,TN,Region 3
Memphis College of Art,TN,Region 3
University of Memphis (The),TN,Region 3
Middle Tennessee State University,TN,Region 3
Milligan College,TN,Region 3
Southern College of Optometry,TN,Region 3
Southern Adventist University,TN,Region 3
Rhodes College,TN,Region 3
Tennessee State University,TN,Region 3
Tennessee Technological University,TN,Region 3
Tennessee Temple University,TN,Region 2
Tennessee Wesleyan College,TN,Region 2
Trevecca Nazarene University,TN,Region 2
Tusculum College,TN,Region 4 (Davidson)
Union University,TN,Region 3
University of Tennessee - Chattanooga,TN,Region 3
University of Tennessee,TN,Region 3
University of Tennessee - Martin,TN,Region 3
University of the South (The),TN,Region 3
Vanderbilt University,TN,Region 4 (Davidson)
Bryan College,TN,Region 4 (Davidson)
Chattanooga State Community College,TN,Region 4 (Davidson)
Cleveland State Community College,TN,Region 4 (Davidson)
Tennessee College of Applied Technology - Knoxville,TN,Region 2
Tennessee College of Applied Technology - Crossville,TN,Region 2
National College,TN,Region 4 (Davidson)
Daymar Institute,TN,Region 2
Jackson State Community College,TN,Region 4 (Davidson)
South College,TN,Region 2
West Tennessee Business College,TN,Region 4 (Davidson)
Tennessee College of Applied Technology - Covington,TN,Region 4 (Davidson)
Tennessee College of Applied Technology - Elizabethton,TN,Region 2
Tennessee College of Applied Technology-Hartsville,TN,Region 4 (Davidson)
Tennessee College of Applied Technology - Newbern,TN,Region 4 (Davidson)
Tennessee College of Applied Technology--McMinnville,TN,Region 4 (Davidson)
Tennessee College of Applied Technology - Morristown,TN,Region 4 (Davidson)
Tennessee College Of Applied Technology-McKenzie,TN,Region 3
Tennessee College of Applied Technology-Livingston,TN,Region 3
Tennessee College of Applied Technology-Jackson,TN,Region 3
Tennessee College of Applied Technology - Hohenwald,TN,Region 3
Tennessee College of Applied Technology - Crump,TN,Region 2
Tennessee College of Applied Technology - Athens,TN,Region 2
Tennessee College of Applied Technology - Nashville,TN,Region 4 (Davidson)
Northeast State Community College,TN,Region 2
Tennessee College of Applied Technology-Shelbyville,TN,Region 2
Dyersburg State Community College,TN,Region 4 (Davidson)
Motlow State Community College,TN,Region 2
Tennessee College of Applied Technology - Dickson,TN,Region 4 (Davidson)
Nashville State Community College,TN,Region 2
Walters State Community College,TN,Region 4 (Davidson)
Tennessee College of Applied Technology-Pulaski,TN,Region 4 (Davidson)
Tennessee College of Applied Technology - Oneida/Huntsville,TN,Region 4 (Davidson)
Volunteer State Community College,TN,Region 4 (Davidson)
Roane State Community College,TN,Region 3
Tennessee College of Applied Technology - Harriman,TN,Region 3
Southwest Tennessee Community College,TN,Region 3
American Baptist Theological Seminary,TN,Region 3
Tennessee College of Applied Technology-Jacksboro,TN,Region 3
Pellissippi State Community College,TN,Region 3
Tennessee College of Applied Technology Whiteville,TN,Region 3
Tennessee College of Applied Technology - Murfreesboro,TN,Region 3
O'More College of Design,TN,Region 4 (Davidson)
Nashville College of Medical Careers,TN,Region 4 (Davidson)
Concorde Career College,TN,Region 4 (Davidson)
Pentecostal Theological Seminary,TN,Region 7 (Shelby)
"Chattanooga College - Medical, Dental and Technical Careers",TN,Region 7 (Shelby)
Tennessee College of Applied Technology-Paris,TN,Region 7 (Shelby)
Arnold's Beauty School,TN,Region 7 (Shelby)
Kaplan College,TN,Region 3
Fortis Institute,TN,Region 3
Miller - Motte Technical College,TN,Region 4 (Davidson)
Welch College,TN,Region 4 (Davidson)
"Watkins College of Art, Design & Film",TN,Region 4 (Davidson)
Richmont Graduate University,TN,Region 4 (Davidson)
Baptist Memorial College of Health Sciences,TN,Region 3
Williamson Christian College,TN,Region 3
Institute of Hair Design,TN,Region 3
Visible Music College,TN,Region 3
Sandra Academy of Salon Services,TN,Region 3
Abilene Christian University,TX,Region 6
Alvin Community College,TX,Region 6
Amarillo College,TX,Region 6
Angelo State University,TX,Region 6
Austin College,TX,Region 6
Baylor University,TX,Region 6
Coastal Bend College,TX,Region 6
Blinn College,TX,Region 6
Cisco College,TX,Region 6
Clarendon College,TX,Region 6
Concordia University Texas,TX,Region 6
North Central Texas College,TX,Region 6
Dallas Baptist University,TX,Region 6
Cedar Valley College,TX,Region 6
Del Mar College,TX,Region 6
East Texas Baptist University,TX,Region 6
Texas A&M University - Commerce,TX,Region 6
Frank Phillips College,TX,Region 6
Grayson County College,TX,Region 6
Hardin-Simmons University,TX,Region 6
Trinity Valley Community College,TX,Region 6
Hill College,TX,Region 6
Howard County Junior College District,TX,Region 6
Howard Payne University,TX,Region 6
Houston Baptist University,TX,Region 6
Huston - Tillotson University,TX,Region 6
University of the Incarnate Word,TX,Region 6
Jacksonville College,TX,Region 6
Kilgore College,TX,Region 6
Lamar University,TX,Region 6
Laredo Community College,TX,Region 6
Lee College,TX,Region 6
LeTourneau University,TX,Region 6
Lubbock Christian University,TX,Region 6
University of Mary Hardin-Baylor,TX,Region 6
McLennan Community College,TX,Region 6
McMurry University,TX,Region 3
Midwestern State University,TX,Region 6
Navarro College,TX,Region 6
University of North Texas,TX,Region 6
Odessa College,TX,Region 6
Our Lady of The Lake University,TX,Region 6
University of Texas - Rio Grande Valley,TX,Region 3
Panola College,TX,Region 3
Paris Junior College,TX,Region 3
Paul Quinn College,TX,Region 3
Ranger College,TX,Region 3
Rice University,TX,Region 3
Sam Houston State University,TX,Region 3
San Jacinto Community College District,TX,Region 3
Schreiner University,TX,Region 3
South Plains College,TX,Region 3
University of Houston - Downtown,TX,Region 3
Southern Methodist University,TX,Region 3
Southwest Texas Junior College,TX,Region 3
Texas State University,TX,Region 3
Southwestern Assemblies of God University,TX,Region 3
Southwestern Christian College,TX,Region 3
Southwestern Adventist University,TX,Region 3
Southwestern University,TX,Region 3
St. Edward's University,TX,Region 3
Saint Mary's University,TX,Region 3
Stephen F Austin State University,TX,Region 3
Sul Ross State University,TX,Region 3
Tarrant County College District,TX,Region 3
Temple College,TX,Region 3
Texarkana College,TX,Region 3
Prairie View Agricultural & Mechanical University,TX,Region 3
Tarleton State University,TX,Region 3
Texas A&M University,TX,Region 4
Texas State Technical College,TX,Region 4
Texas Chiropractic College,TX,Region 4
Texas Christian University,TX,Region 4
Jarvis Christian College,TX,Region 4
Texas College,TX,Region 4
Texas A&M University - Kingsville,TX,Region 4
Texas Lutheran University,TX,Region 4
Texas Southern University,TX,Region 4
Texas Tech University,TX,Region 4
Texas Wesleyan University,TX,Region 4
Texas Woman's University,TX,Region 4
Trinity University,TX,Region 4
Tyler Junior College,TX,Region 4
University of Dallas,TX,Region 4
University of Houston,TX,Region 4
University of Saint Thomas,TX,Region 4
University of Texas at Arlington,TX,Region 4
University of Texas at Austin,TX,Region 8
University of Texas Health Science Center at San Antonio,TX,Region 8
University of Texas at El Paso,TX,Region 11
Victoria College,TX,Region 4
Wayland Baptist University,TX,Region 4
Weatherford College,TX,Region 4
West Texas A&M University,TX,Region 4
Wharton County Junior College,TX,Region 4
Wiley College,TX,Region 4
Central Texas College District,TX,Region 3
Baylor College of Medicine,TX,Region 3
University of Texas Health Science Center at Houston,TX,Region 3
University of Texas Medical Branch at Galveston,TX,Region 3
Galveston College,TX,Region 3
South Texas College of Law,TX,Region 3
Covenant School of Nursing and Allied Health,TX,Region 3
Angelina College,TX,Region 8
Dallas Christian College,TX,Region 11
College of the Mainland,TX,Region 8
Brazosport College,TX,Region 8
International Business College,TX,Region 11
San Antonio College,TX,Region 11
Texas State Technical College Harlingen,TX,Region 11
Kaplan College,TX,Region 11
Western Texas College,TX,Region 11
Texas A&M International University,TX,Region 11
University of Texas at Dallas,TX,Region 11
University of North Texas Health Science Center at Fort Worth,TX,Region 11
Midland College,TX,Region 11
University of Texas of the Permian Basin,TX,Region 11
Texas State Technical College West Texas,TX,Region 11
University of Texas Southwestern Medical Center (The),TX,Region 11
Vernon College,TX,Region 11
University of Texas at San Antonio,TX,Region 11
El Paso Community College,TX,Region 11
Hallmark University,TX,Region 11
Houston Community College,TX,Region 11
Texas Tech University Health Sciences Center,TX,Region 11
Dallas Institute of Funeral Service,TX,Region 11
Lone Star College-North Harris,TX,
Texas A&M University - Corpus Christi,TX,Region 11
University of Texas at Tyler,TX,Region 11
University of Houston - Clear Lake,TX,Region 11
Austin Community College,TX,Region 11
Laredo Beauty College,TX,Region 11
Paul Mitchell the School Dallas,TX,Region 11
Metroplex Beauty School,TX,Region 11
Neilson Beauty College,TX,Region 11
Ogle School Hair Skin Nails,TX,Region 11
University of Houston - Victoria,TX,Region 11
Conlee's College of Cosmetology,TX,Region 11
Arlington Baptist College,TX,Region 11
Western Technical College,TX,Region 11
Art Institute of Houston (The),TX,Region 11
Vet Tech Institute of Houston,TX,Region 11
Southwest School of Business & Technical Careers,TX,Region 11
Tri-State Cosmetology Institute,TX,Region 11
Ogle School Hair Skin Nails,TX,Region 11
Ogle School Hair Skin Nails,TX,Region 11
Texas Vocational School,TX,Region 11
Everest Institute,TX,Region 11
Parker University,TX,Region 11
Fort Worth Beauty School,TX,Region 11
Texas School of Business,TX,Region 11
Northeast Texas Community College,TX,Region 11
Houston Graduate School of Theology,TX,Region 11
Interactive College of Technology,TX,Region 11
Lamar State College - Port Arthur,TX,Region 11
Lamar State College - Orange,TX,Region 11
Collin County Community College,TX,Region 11
Universal Technical Institute,TX,Region 11
Austin Graduate School of Theology,TX,Region 8
Arlington Career Institute,TX,Region 8
Houston Training Schools,TX,Region 8
South Texas Vocational Technical Institute,TX,Region 8
South Texas Vocational Technical Institute,TX,Region 8
Le Cordon Bleu College of Culinary Arts,TX,Region 8
Vista College,TX,Region 8
Vista College,TX,Region 8
Career Point College,TX,Region 8
Kaplan College,TX,Region 7
Ocean Corporation (The),TX,Region 7
Sanford-Brown College,TX,Region 7
Nuvani Institute,TX,Region 7
PCI Health Training Center,TX,Region 7
Nuvani Institute,TX,Region 7
School of Automotive Machinists & Technology,TX,Region 7
Southern Careers Institute,TX,Region 7
University of Texas at Brownsville,TX,Region 7
Messenger College,TX,Region 7
South Texas College,TX,Region 1
Kaplan College,TX,Region 1
College of Health Care Professions (The),TX,Region 1
American College of Acupuncture & Oriental Medicine,TX,Region 3
Academy of Oriental Medicine at Austin,TX,Region 3
Arlington Medical Institute,TX,Region 3
Texas A & M University - Texarkana,TX,Region 3
Texas Health and Science University,TX,Region 3
Kaplan College,TX,Region 3
Northwest Educational Center,TX,Region 6
Texas State Technical College Marshall,TX,Region 6
Dallas Nursing Institute,TX,Region 6
College of Biblical Studies-Houston,TX,Region 6
Fortis College,TX,Region 6
College of Health Care Professions (The),TX,Region 6
Concorde Career College,TX,Region 6
Aviation Institute of Maintenance,TX,Region 6
Valley Grande Institute for Academic Studies,TX,Region 6
Lamar Institute of Technology,TX,Region 6
Trend Barber College,TX,Region 6
Culinary Institute LeNotre,TX,Region 6
Auguste Escoffier School of Culinary Arts,TX,Region 6
Baptist University of the Americas,TX,Region 6
Aviation Institute of Maintenance,TX,Region 4
DuVall's School of Cosmetology,TX,Region 4
North American University,TX,Region 4
Vantage College,TX,Region 4
Texas A&M University - Central Texas,TX,Region 4
Vantage College - San Antonio,TX,Region 4
"Vocational Nursing Institute, (The)",TX,Region 4
University of North Texas at Dallas,TX,Region 4
Dixie State University,UT,Utah County
Stevens Henager College,UT,Utah County
University of Utah,UT,"San Juan, and Southwest"
Utah State University,UT,"San Juan, and Southwest"
Southern Utah University,UT,Salt Lake County
Snow College,UT,Salt Lake County
Weber State University,UT,Salt Lake County
Westminster College,UT,Davis County
Utah Valley University,UT,Salt Lake County
Salt Lake Community College,UT,"San Juan, and Southwest"
Neumont University,UT,"Bear River, Northeastern, Summit, Tooele, and Wasatch"
Broadview University,UT,"Bear River, Northeastern, Summit, Tooele, and Wasatch"
Davis Applied Technology College,UT,"Weber, Morgan"
Eagle Gate College,UT,"Weber, Morgan"
Everest College,UT,Davis County
Ogden Weber Applied Technology College,UT,Davis County
Provo College,UT,Davis County
Marinello School of Beauty,UT,Utah County
Utah College of Massage Therapy,UT,Utah County
Western Governors University,UT,Utah County
Mountainland Applied Technology College,UT,Davis County
Averett University,VA,3
Bluefield College,VA,3
Bridgewater College,VA,3
College of William & Mary,VA,5
Christopher Newport University,VA,5
Richard Bland College,VA,4
Eastern Mennonite University,VA,1
Emory & Henry College,VA,3
Ferrum College,VA,3
Tidewater Community College,VA,5
Hampden Sydney College,VA,4
Hampton University,VA,5
Hollins University,VA,3
Longwood University,VA,4
Lynchburg College,VA,3
James Madison University,VA,1
Mary Baldwin College,VA,1
Marymount University,VA,2
American National University,VA,3
Northern Virginia Community College,VA,2
Old Dominion University,VA,5
Radford University,VA,3
Randolph - Macon College,VA,5
Randolph College,VA,3
Virginia Commonwealth University,VA,4
Roanoke College,VA,3
Shenandoah University,VA,1
Southern Virginia University,VA,1
Sweet Briar College,VA,1
University of Richmond,VA,1
University of Virginia,VA,1
University of Mary Washington,VA,1
University of Virginia's College at Wise (The),VA,3
Eastern Shore Community College,VA,5
George Mason University,VA,2
Patrick Henry Community College,VA,3
Virginia Military Institute,VA,1
Virginia Polytechnic Institute & State University,VA,3
Danville Community College,VA,3
J Sargeant Reynolds Community College,VA,4
Virginia Western Community College,VA,3
Wytheville Community College,VA,3
Virginia University of Lynchburg,VA,3
Virginia State University,VA,4
Norfolk State University,VA,5
Virginia Union University,VA,4
Virginia Wesleyan College,VA,5
Washington and Lee University,VA,1
John Tyler Community College,VA,4
Central Virginia Community College,VA,4
Miller-Motte Technical College,VA,3
Dabney S Lancaster Community College,VA,3
New River Community College,VA,3
Jefferson College of Health Sciences,VA,3
Blue Ridge Community College,VA,1
Thomas Nelson Community College,VA,1
Virginia Highlands Community College,VA,3
Southwest Virginia Community College,VA,3
Lord Fairfax Community College,VA,1
Germanna Community College,VA,1
Southside Virginia Community College,VA,4
Paul D. Camp Community College,VA,5
Rappahannock Community College,VA,5
Everest College,VA,5
Sanford-Brown College,VA,2
Staunton School of Cosmetology,VA,1
Virginia School of Hair Design,VA,5
Mountain Empire Community College,VA,3
Piedmont Virginia Community College,VA,1
Bon Secours Memorial College of Nursing,VA,4
ECPI University,VA,4
Eastern Virginia Medical School,VA,5
Liberty University,VA,3
Wards Corner Beauty Academy,VA,5
Tidewater Tech,VA,5
Centura College,VA,5
Fortis College,VA,5
Suffolk Beauty Academy,VA,5
Stratford University,VA,2
Medtech College,VA,2
Paul Mitchell the School Roanoke,VA,3
Skyline College,VA,3
Aviation Institute of Maintenance,VA,5
Centura College,VA,5
Advanced Technology Institute,VA,5
Virginia School of Massage,VA,2
Chester Career College,VA,4
Appalachian School of Law,VA,3
Divine Mercy University,VA,2
Aviation Institute of Maintenance,VA,2
Columbia College,VA,2
University of the Virgin Islands,VI,
Bennington College,VT,Rural Southwest
Castleton University,VT,Rural Southwest
Champlain College,VT,Champlain Valley
College of Saint Joseph,VT,Rural Southwest
Goddard College,VT,Rural Northeast
Green Mountain College,VT,Rural Southwest
Johnson State College,VT,Rural Northeast
Lyndon State College,VT,Rural Northeast
Marlboro College,VT,Rural Southeast
Middlebury College,VT,Champlain Valley
Norwich University,VT,Rural Northeast
Southern Vermont College,VT,Rural Southwest
Saint Michael's College,VT,Champlain Valley
University of Vermont and State Agricultural College,VT,Champlain Valley
Vermont Technical College,VT,Rural Northeast
O'Briens Aveda Institute,VT,Champlain Valley
SIT,VT,Rural Southeast
Community College of Vermont,VT,Champlain Valley
Vermont Law School,VT,Rural Southeast
Burlington College,VT,Champlain Valley
Sterling College,VT,Rural Northeast
New England Culinary Institute,VT,Rural Northeast
Landmark College,VT,Rural Southeast
Bellevue College,WA,2
Big Bend Community College,WA,1
Central Washington University,WA,1
Centralia College,WA,3
Clark College,WA,3
Columbia Basin College,WA,1
Eastern Washington University,WA,1
Everett Community College,WA,2
Heritage University,WA,1
Gonzaga University,WA,1
Grays Harbor College,WA,3
Green River Community College,WA,2
Highline College,WA,2
Lower Columbia College,WA,3
Northwest University,WA,2
Olympic College,WA,3
Pacific Lutheran University,WA,3
Peninsula College,WA,3
Seattle Central Community College,WA,2
Seattle Pacific University,WA,2
Seattle University,WA,2
Shoreline Community College,WA,2
Skagit Valley College,WA,2
Spokane Community College,WA,1
Saint Martin's University,WA,3
Tacoma Community College,WA,3
University of Puget Sound,WA,3
University of Washington - Seattle,WA,2
Walla Walla University,WA,1
Washington State University,WA,1
Wenatchee Valley College,WA,1
Western Washington University,WA,2
Whitman College,WA,1
Whitworth University,WA,1
Yakima Valley Community College,WA,1
Bellingham Technical College,WA,2
Pierce College,WA,3
Edmonds Community College,WA,2
Walla Walla Community College,WA,1
Bates Technical College,WA,3
South Puget Sound Community College,WA,3
Lake Washington Institute of Technology,WA,2
Clover Park Technical College,WA,3
Evergreen State College (The),WA,3
Perry Technical Institute,WA,1
Spokane Falls Community College,WA,1
North Seattle College,WA,2
South Seattle College,WA,2
Glen Dow Academy of Hair Design & Salons,WA,1
Whatcom Community College,WA,2
Renton Technical College,WA,2
Divers Institute of Technology,WA,2
Cornish College of the Arts,WA,2
City University of Seattle,WA,2
Trinity Lutheran College,WA,2
Northwest Indian College,WA,2
Gene Juarez Beauty Schools,WA,2
Bastyr University,WA,2
Art Institute of Seattle (The),WA,2
Everest College,WA,2
Charter College,WA,3
Everest College,WA,2
Everest College,WA,2
ITT Technical Institute,WA,1
Cortiva Institute - Seattle,WA,2
Seattle School of Theology and Psychology (The),WA,2
Cascadia College,WA,2
DigiPen Institute of Technology,WA,2
Northwest School of Wooden Boat Building,WA,3
Pinchot University,WA,2
Summit Salon Academy,WA,3
Academy of Interactive Entertainment,WA,2
Alverno College,WI,Milwaukee
Beloit College,WI,Southern
Cardinal Stritch University,WI,Milwaukee
Carroll University,WI,Southeastern
Carthage College,WI,Southeastern
Western Technical College,WI,Western
Concordia University,WI,Milwaukee
Edgewood College,WI,Southern
Silver Lake College of the Holy Family,WI,Northeastern
Lakeland College,WI,Northeastern
Lawrence University of Wisconsin,WI,Northeastern
Marian University,WI,Northeastern
Marquette University,WI,Milwaukee
Milwaukee Area Technical College,WI,Milwaukee
Milwaukee School of Engineering,WI,Milwaukee
Mount Mary University,WI,Milwaukee
Northland College,WI,Northern
Ripon College,WI,Northeastern
Saint Norbert College,WI,Northeastern
University of Wisconsin - Madison,WI,Southern
University of Wisconsin - Milwaukee,WI,Milwaukee
University of Wisconsin Colleges,WI,Southern
University of Wisconsin - Green Bay,WI,Northeastern
Viterbo University,WI,Western
University of Wisconsin - Stout,WI,Western
University of Wisconsin - Eau Claire,WI,Western
University of Wisconsin - LaCrosse,WI,Western
University of Wisconsin - Oshkosh,WI,Northeastern
University of Wisconsin - Platteville,WI,Southern
University of Wisconsin - River Falls,WI,Western
University of Wisconsin - Stevens Point,WI,Northern
University of Wisconsin - Superior,WI,Western
University of Wisconsin - Whitewater,WI,Southeastern
Madison Area Technical College,WI,Southern
University of Wisconsin - Parkside,WI,Southeastern
Waukesha County Technical College,WI,Southeastern
Northeast Wisconsin Technical College,WI,Northeastern
Chippewa Valley Technical College,WI,Western
Mid-State Technical College,WI,Northern
Nicolet Area Technical College,WI,Northern
Northcentral Technical College,WI,Northern
Gateway Technical College,WI,Southeastern
Blackhawk Technical College,WI,Southern
Bellin College,WI,Northeastern
Southwest Wisconsin Technical College,WI,Southern
Paul Mitchell the School Green Bay,WI,Northeastern
Lakeshore Technical College,WI,Northeastern
Moraine Park Technical College,WI,Northeastern
State College of Beauty Culture,WI,Northern
Herzing University,WI,Milwaukee
Fox Valley Technical College,WI,Northeastern
Madison Media Institute,WI,Southern
Advanced Institute of Hair Design,WI,Southern
Wisconsin Indianhead Technical College,WI,Western
Milwaukee Institute of Art & Design,WI,Milwaukee
Wisconsin Lutheran College,WI,Milwaukee
Maranatha Baptist University,WI,Southern
Medical College of Wisconsin,WI,Milwaukee
Lac Courte Oreilles Ojibwa Community College,WI,Western
Midwest College of Oriental Medicine,WI,Southeastern
College of Menominee Nation,WI,Northeastern
Northland International University,WI,Northeastern
Milwaukee Career College,WI,Milwaukee
Wisconsin Academy a Paul Mitchell Partner Group (The),WI,Southern
Columbia College of Nursing,WI,Milwaukee
Shepherds College,WI,Southeastern
Wright Graduate University for the Realization of Human Potential,WI,Southeastern
Alderson Broaddus University,WV,Region IV
Bethany College,WV,Region I
Bluefield State College,WV,Region VI
Concord University,WV,Region VI
Davis & Elkins College,WV,Region IV
Fairmont State University,WV,Region IV
Glenville State College,WV,Region III
Marshall University,WV,Region V
Southern West Virginia Community and Technical College,WV,Region V
University of Charleston,WV,Region V
Ohio Valley University,WV,Region III
Salem International University,WV,Region IV
Shepherd University,WV,Region II
West Liberty University,WV,Region I
West Virginia State University,WV,Region V
West Virginia University,WV,Region IV
West Virginia University - Parkersburg,WV,Region III
West Virginia Wesleyan College,WV,Region IV
Wheeling Jesuit University,WV,Region I
West Virginia Junior College,WV,Region IV
Mountain State College,WV,Region III
Appalachian Bible College,WV,Region VI
International Beauty School,WV,Region II
Huntington Junior College of Business,WV,Region V
West Virginia Northern Community College,WV,Region I
Everest Institute,WV,Region V
West Virginia Junior College,WV,Region IV
West Virginia Business College,WV,Region IV
West Virginia School of Osteopathic Medicine,WV,Region VI
Valley College,WV,Region VI
Valley College,WV,Region VI
Valley College,WV,Region II
Blue Ridge Community and Technical College,WV,Region II
New River Community and Technical College,WV,Region VI
Pierpont Community & Technical College,WV,Region IV
BridgeValley Community and Technical College,WV,Region V
Mountwest Community and Technical College,WV,Region V
Eastern West Virginia Community & Technical College,WV,Region II
,WV,
